rdev1_1958,rdev1_1959,rdev1_1960,rdev1_1961,rdev1_1962,rdev1_1963,rdev1_1964,rdev1_1965,rdev1_1966,rdev1_1967,rdev1_1968,rdev1_1969,rdev1_1970,rdev1_1971,rdev1_1972,rdev1_1973,rdev1_1974,rdev1_1975,rdev1_1976,rdev1_1977,rdev1_1978,rdev1_1979,rdev1_1980,rdev1_1981,rdev1_1982,rdev1_1983,rdev1_1984,rdev1_1985,rdev1_1986,rdev1_1987,rdev1_1988,rdev1_1989,rdev1_1990,rdev1_1991,rdev1_1992,rdev1_1993,rdev1_1994,rdev1_1995,rdev1_1996,rdev1_1997,rdev1_1998,rdev1_1999,rdev1_2000,rdev1_2001,rdev1_2002,rdev1_2003,rdev1_2004,rdev1_2005,rdev1_2006,rdev1_2007,rdev1_2008,rdev1_2009,rdev1_2010,rdev1_2011,rdev1_2012,rdev1_2013,rdev1_2014,rdev1_2015,rdev1_2016,rdev1_2017,rdev1_2018,rdev1_2019,rdev1_2020
-0.20432,0.364595,-0.245957,-0.717606,0.532197,2.6249,1.33709,-0.134295,0.744342,-0.645101,0.0493901,-0.725099,0.0269533,0.263528,2.62779,-0.416529,0.630817,0.536281,-0.24633,0.873245,0.91711,1.29984,-1.3361,0.0665797,0.527186,-0.725193,-0.0769786,-0.230555,2.41309,0.948349,0.275383,0.460673,0.873396,0.436129,0.237354,-0.578987,-0.86861,-0.685561,-0.349903,-0.40977,-0.927437,-1.34929,-0.941858,0.664145,0.0960542,-0.141951,-0.865369,-2.03071,-0.723266,-0.380184,0.0450816,-0.271878,0.0192927,-0.0155311,0.0258668,-0.975348,-0.435857,-0.535357,-0.427421,-2.05471,0.248184,0.451069,-1.05334
-0.724537,0.572688,-0.153391,-0.396319,0.224914,3.12306,0.397317,0.245186,0.732234,-1.45378,-0.494509,-0.223134,0.435964,0.849367,3.0182,-0.00862492,0.518306,-0.532903,-0.461301,1.92599,-0.0900221,0.965357,0.356307,0.50853,0.514804,-0.309114,-0.871011,0.444816,2.65749,1.23531,0.250462,-0.536573,0.766166,1.92106,-1.44754,-0.48454,-1.09313,-0.548316,-0.178109,-0.430403,-1.30499,-1.70928,-1.8754,0.947254,0.289281,0.154067,-0.761297,-0.644031,-1.76704,-1.31936,-0.595691,1.31869,-0.646648,-1.18144,-0.39175,-1.06863,0.0179534,-1.23445,-0.551192,-1.01194,0.973765,-1.30538,-0.139695
-0.676349,0.277026,-0.638491,-0.655644,-1.3538,2.903,0.188304,0.825544,0.850353,-0.0547457,0.257935,-0.585305,0.0942645,0.257012,2.67223,-0.135935,0.379199,1.31788,0.441496,-0.290411,1.26249,0.879703,0.929881,-0.263523,0.604594,-0.237247,0.26766,-0.253648,2.50692,1.10494,-0.45244,0.736533,1.1361,1.21203,0.03303,-0.322229,-1.34814,-0.157618,-0.8043,-0.956731,-0.351806,-0.879718,-1.34858,0.57508,0.651681,-0.193648,-2.36587,-0.897121,-1.206,-0.436367,-0.597609,1.46373,-1.08865,-0.453082,-0.562189,-0.640521,-0.815117,-0.644128,-0.413657,-2.39094,1.00274,-0.512085,-1.5553
-0.126515,-0.0689629,-0.124179,0.363539,-0.462602,3.14322,-0.397014,0.355506,-0.428029,-1.17724,-0.503519,0.0763649,-0.889082,-0.287124,2.71175,-0.20795,1.7042,0.526284,-0.9709,1.62729,-0.127143,0.997552,0.168876,0.76497,0.892782,-0.134217,0.334756,-0.498509,2.56009,1.4171,0.194313,-0.128965,0.866252,1.36963,-0.306363,-0.546052,-1.17875,0.430512,-0.252921,-1.5156,-1.19164,-0.932454,-1.30856,1.01842,-0.368815,-0.413196,-1.2646,-0.854037,-1.86555,-1.19448,-0.563796,1.12713,-0.134453,-0.842645,-1.50546,0.265518,-1.24655,-0.446213,-0.185848,-1.21949,1.20823,-0.900384,0.274542
0.29899,-0.25903,0.286806,-0.620286,-0.254913,2.89637,0.877677,-0.238111,0.652509,0.0927709,-1.93224,0.490647,-0.855289,-1.08844,2.87109,-1.83811,0.888518,0.343579,0.451897,0.866429,-0.0671088,1.49181,0.0194443,0.888075,0.528486,-0.0460292,-0.480917,0.991444,2.25686,1.12589,-1.1024,1.12106,0.63252,1.68814,0.0409467,-0.498406,-0.446249,-1.12678,0.845762,-0.742285,-1.7213,-1.58375,-0.796635,0.365627,-0.39612,0.299007,-1.25731,-0.787651,-1.23735,-1.33476,-0.451165,1.36848,-0.174116,-1.71029,-0.644324,-0.841121,-0.392183,-0.314336,-0.774473,-1.99969,0.140016,0.456957,-0.0108427
-0.362154,0.751336,0.0889795,-0.157568,0.380351,2.70766,1.63767,0.207063,0.503881,-0.0470475,-0.740834,-0.9295,-0.7817,-0.302613,2.97735,-0.963554,-0.339523,-0.0491053,0.595052,1.51774,-0.181042,1.10106,-1.09143,1.01034,0.814515,-0.8538,0.0501769,0.0245415,2.40574,1.38168,-1.54257,0.0887975,1.04637,1.58887,0.0503005,-0.838201,-1.40645,-0.723957,0.576272,-1.89869,-1.24806,-0.635219,-0.897333,0.719612,-0.556146,0.0563424,-0.111898,-1.4427,-1.57602,-0.76123,-0.817934,1.28579,0.186708,-1.34239,-0.949347,-0.345714,0.110672,-1.76752,-0.271357,-1.88386,0.71673,0.674713,0.505623
0.2162,-0.195792,0.309748,-0.890652,-0.596378,3.22081,-0.365077,-0.244434,-0.444476,0.158307,-1.96632,-1.0167,-0.0259241,-0.969707,2.95827,0.395725,-0.42587,1.58449,-0.465905,0.756031,0.626985,0.405813,0.803254,0.141736,1.46362,-0.453913,-0.786538,-0.120857,2.30966,2.0903,-0.816275,0.73219,0.148086,1.3541,0.401692,-0.980312,-0.187455,0.192087,-0.61659,-0.285522,-0.663032,-0.330182,-1.71538,0.394302,0.343397,-0.169423,0.387854,-1.65547,-1.30308,-1.27919,-0.940923,1.05905,0.421207,-1.64365,0.286404,-1.24459,-0.329895,-0.716742,-0.0601986,-1.43339,0.49551,-0.223852,-0.640689
0.0779923,-0.383666,-0.428961,-1.72157,0.640945,2.85939,-0.457429,1.44738,-0.055586,0.0861147,-0.840821,-0.19155,-0.435991,-0.696612,2.79771,0.566069,0.427024,1.13161,-0.578376,0.656533,1.42655,-0.71001,0.268854,1.35375,-0.0387712,0.250084,-0.854448,-0.571418,2.02917,1.85401,1.22247,0.517209,-0.176561,1.5748,-0.302591,-1.17824,-1.06553,-0.598968,0.666554,-1.43658,-0.738213,-1.04692,-1.19463,0.801316,-0.121487,-0.090322,-1.44432,-1.59291,-1.47431,-1.07499,-0.197894,0.410186,0.0232927,0.472287,-0.293761,-0.630868,0.240529,-1.39135,-0.833003,-1.13394,0.145607,-0.175468,-0.989104
-0.34287,0.588918,-1.60401,0.41071,-0.825733,3.1046,-0.0483472,-0.314318,-0.0737991,-0.503636,-0.898765,-0.251879,-0.115951,-0.325945,2.91947,-0.649683,1.05259,0.652297,0.548436,0.553596,1.52877,-0.984682,0.603774,-0.404407,0.621551,0.323387,-1.14075,0.970775,2.31521,1.82377,-0.901052,0.75434,1.52767,0.629751,-0.278765,-1.35813,-1.57433,0.521657,-0.199656,-1.09261,-0.913222,-0.822196,-0.948136,0.851462,-0.132304,-1.20805,-0.269349,-0.700356,-1.33388,-0.269798,-1.26,1.11059,-0.492718,-0.0690616,-1.61334,-0.664092,-0.95846,0.451698,-1.04837,-0.276615,0.514854,-0.881186,1.04081
0.947007,-0.941763,0.118128,-0.293612,-0.328683,3.16279,-0.448091,0.177445,1.0555,-0.606576,0.614827,-1.0463,-0.420607,0.309656,2.80616,-0.510069,1.19861,0.773062,1.04225,0.35988,1.60198,0.158369,1.37312,0.400186,-0.421958,-1.33875,0.757737,-0.941246,1.78325,2.5113,-1.68523,-0.491075,0.479394,1.65062,-1.22908,-1.11924,-1.35309,-0.733903,-0.495592,0.102533,-1.21011,-0.793341,-1.06763,0.951202,-0.510547,-0.471559,0.35144,-0.970461,-0.90794,-1.96687,0.353824,0.363075,0.306795,-0.488932,-0.325548,-0.18577,-0.853291,-0.699252,-0.883484,-1.40362,0.658457,-0.379511,-0.767243
