ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,bmsy,msy1,fmsy1,umsy1,q1,q2,q3,q4,q5,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,sel_g6,sel_sd6,f
2717.43,0.466253,0.28365,2717.43,2717.43,0.058824,1.47059, 28730.1, 28730.1, 11523.6, 1137.79, 0.12, 0.11308,0.0653905,0.0459507,0.0807672,0.00294462,0.00760629,20437.6,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,269.062
2832.39,0.921609,0.29253,2832.39,2832.39,0.058824,1.47059, 28506.8, 28506.8, 8102.05, 2092.11, 0.35, 0.295312,0.068864,0.0462908,0.0801063,0.00303007,0.00777377,19397.7,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,257.087
2805.05,0.760002,0.285295,2805.05,2805.05,0.058824,1.47059, 29383.6, 29383.6, 9464.36, 1832.17, 0.25, 0.221199,0.0697325,0.0574741,0.0998457,0.00315928,0.00898542,16964.3,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,265.488
2454.29,0.903184,0.296622,2454.29,2454.29,0.058824,1.47059, 24159.8, 24159.8, 6866.32, 1769.78, 0.35, 0.295312,0.0847134,0.0642746,0.113277,0.00364009,0.0107486,16294.8,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,255.786
2714.42,0.964464,0.281873,2714.42,2714.42,0.058824,1.47059, 28988.1, 28988.1, 7818.79, 2125.45, 0.37, 0.309266,0.0652475,0.0469355,0.0800645,0.00295308,0.00755786,20902,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,267.325
2948.95,0.720822,0.302373,2948.95,2948.95,0.058824,1.47059, 28153.9, 28153.9, 9243.36, 1775.54, 0.25, 0.221199,0.0697053,0.046158,0.0794514,0.00334133,0.00767407,19736.9,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,259.508
3771.55,0.703647,0.323101,3771.55,3771.55,0.058824,1.47059, 32402.6, 32402.6, 10804.7, 2128.65, 0.26, 0.228948,0.0553827,0.0444505,0.0773754,0.00267646,0.00692661,17866.4,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,258.213
2781.31,0.578948,0.292731,2781.31,2781.31,0.058824,1.47059, 27961.9, 27961.9, 9916.92, 1422.44, 0.18, 0.16473,0.0812646,0.0540226,0.093499,0.00352871,0.0091376,17574.6,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,257.221
2366.91,0.516993,0.289619,2366.91,2366.91,0.058824,1.47059, 24205.4, 24205.4, 9001.67, 1092.56, 0.15, 0.139292,0.0944781,0.0792818,0.13786,0.00376961,0.0128572,12910.7,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,269.455
3081.78,0.855436,0.31696,3081.78,3081.78,0.058824,1.47059, 27296.2, 27296.2, 8191.21, 2041.51, 0.34, 0.28823,0.071333,0.0484604,0.0840091,0.00314937,0.00817478,17512.1,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,276.828
2873.93,0.557841,0.296886,2873.93,2873.93,0.058824,1.47059, 28250.6, 28250.6, 10351.7, 1406.1, 0.17, 0.156335,0.0704105,0.0549105,0.097684,0.0031281,0.00897286,18779.6,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,254.063
3190.03,0.60549,0.314881,3190.03,3190.03,0.058824,1.47059, 28552.2, 28552.2, 10335.9, 1615.7, 0.2, 0.181269,0.0640587,0.0476945,0.0857546,0.00279266,0.00791618,23513.4,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,269.927
2821.97,0.928384,0.294212,2821.97,2821.97,0.058824,1.47059, 28143.3, 28143.3, 7898.57, 2086.93, 0.36, 0.302324,0.0697808,0.0542448,0.0972005,0.0029538,0.00899214,21169.1,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,270.038
2538.98,0.635297,0.302101,2538.98,2538.98,0.058824,1.47059, 24274.6, 24274.6, 8395.64, 1379.77, 0.21, 0.189416,0.0757819,0.0587924,0.100899,0.00328526,0.00960707,17865.9,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,272.609
2800.37,0.810465,0.291606,2800.37,2800.37,0.058824,1.47059, 28327.1, 28327.1, 8593.85, 1889.71, 0.29, 0.251736,0.07221,0.0422407,0.0736597,0.00381309,0.00720443,22231.4,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,279.03
3546.13,0.761449,0.325132,3546.13,3546.13,0.058824,1.47059, 30164.5, 30164.5, 9780.83, 2118.48, 0.29, 0.251736,0.0565576,0.0419156,0.0733163,0.00248101,0.00675673,22275.6,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,271.154
3691.02,0.745876,0.324774,3691.02,3691.02,0.058824,1.47059, 31451.9, 31451.9, 10027.3, 2172.21, 0.29, 0.251736,0.0603881,0.0465151,0.0816222,0.00259898,0.00742322,20577.6,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,255.879
3002.55,0.893667,0.302285,3002.55,3002.55,0.058824,1.47059, 28678.8, 28678.8, 8248.74, 2120.73, 0.35, 0.295312,0.0698121,0.0542055,0.095277,0.00337774,0.00865902,21486.3,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,274.215
3388.93,0.735962,0.303422,3388.93,3388.93,0.058824,1.47059, 32176.2, 32176.2, 10407.2, 2068.67, 0.26, 0.228948,0.0590447,0.0404588,0.0710786,0.00284734,0.00674605,23924.9,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,266.38
2837.72,0.938195,0.289252,2837.72,2837.72,0.058824,1.47059, 29078.9, 29078.9, 8080.16, 2139.64, 0.36, 0.302324,0.0724132,0.0541765,0.0937114,0.00344222,0.00865198,19262.5,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,263.82
3099.27,0.729427,0.31276,3099.27,3099.27,0.058824,1.47059, 28039.6, 28039.6, 9294.88, 1839.77, 0.26, 0.228948,0.07028,0.0459572,0.0798969,0.00321575,0.00791908,21048.1,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,256.785
3689.68,0.723726,0.339695,3689.68,3689.68,0.058824,1.47059, 29280.3, 29280.3, 9563.99, 2058.03, 0.29, 0.251736,0.0573893,0.0434379,0.0764539,0.00250974,0.00715463,27173.7,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,267.386
2904.99,0.63603,0.28461,2904.99,2904.99,0.058824,1.47059, 30547.7, 30547.7, 10889.3, 1647.27, 0.19, 0.173041,0.0681247,0.0482415,0.083826,0.00308905,0.00804407,23168.1,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,248.515
3619.89,0.786437,0.331652,3619.89,3619.89,0.058824,1.47059, 29837.4, 29837.4, 9297.73, 2186.15, 0.32, 0.273851,0.0648517,0.0504589,0.0892272,0.0028988,0.00826887,21284,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,254.469
3258.48,0.659436,0.320748,3258.48,3258.48,0.058824,1.47059, 28321.6, 28321.6, 9913.6, 1753.24, 0.23, 0.205466,0.0727715,0.0531724,0.0940693,0.00321323,0.00875958,19954.4,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,256.941
4199.15,0.539099,0.337236,4199.15,4199.15,0.058824,1.47059, 33708.6, 33708.6, 12331.4, 1820.94, 0.19, 0.173041,0.052518,0.0356354,0.062091,0.00246489,0.00591835,30231.3,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,272.838
2563.08,0.756798,0.304321,2563.08,2563.08,0.058824,1.47059, 24220.8, 24220.8, 7766.01, 1595.15, 0.27, 0.236621,0.0740028,0.0570843,0.0990911,0.00317086,0.00933344,15445.8,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,270.248
3616.66,0.571741,0.332993,3616.66,3616.66,0.058824,1.47059, 29620.8, 29620.8, 10797.1, 1673.89, 0.2, 0.181269,0.0560624,0.0482864,0.0849813,0.00235484,0.007696,16934.9,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,268.93
2585.88,0.715156,0.282118,2585.88,2585.88,0.058824,1.47059, 27577, 27577, 9023.76, 1624.22, 0.23, 0.205466,0.0924081,0.0672719,0.118448,0.00408666,0.0111622,13992.4,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,258.756
4247.35,0.731095,0.329161,4247.35,4247.35,0.058824,1.47059, 35430.2, 35430.2, 11632.4, 2439.18, 0.28, 0.244216,0.0511845,0.0362791,0.0632085,0.00232884,0.00585983,25730.3,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,260.383
3285.98,0.519605,0.320463,3285.98,3285.98,0.058824,1.47059, 28601, 28601, 10579.2, 1421.49, 0.17, 0.156335,0.0607273,0.0469709,0.0823359,0.00282048,0.00748301,20669.4,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,258.917
3294.7,0.736807,0.320065,3294.7,3294.7,0.058824,1.47059, 28733.4, 28733.4, 9214.23, 1940.04, 0.28, 0.244216,0.0733282,0.0583446,0.102593,0.0033083,0.00911111,16323.2,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,270.149
2846.2,0.882713,0.303606,2846.2,2846.2,0.058824,1.47059, 26997.2, 26997.2, 7923.51, 1986.59, 0.34, 0.28823,0.0695223,0.0486662,0.0857519,0.00321742,0.0081857,20134.2,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,261.672
2426.49,0.712909,0.275966,2426.49,2426.49,0.058824,1.47059, 26805.9, 26805.9, 8903.43, 1544.27, 0.22, 0.197481,0.0826643,0.0564798,0.0969891,0.0038601,0.00922792,15869.6,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,267.332
3098.52,0.751669,0.3194,3098.52,3098.52,0.058824,1.47059, 27112, 27112, 8809.88, 1855.46, 0.28, 0.244216,0.0724085,0.0570357,0.100603,0.00331934,0.00931288,17895.5,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,266.813
3071.78,0.727373,0.305632,3071.78,3071.78,0.058824,1.47059, 28829.8, 28829.8, 9309.5, 1848.62, 0.26, 0.228948,0.0599398,0.0428578,0.074674,0.00300942,0.00692207,21662.8,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,264.644
3171.61,0.889236,0.314642,3171.61,3171.61,0.058824,1.47059, 28421.7, 28421.7, 8292.34, 2171.14, 0.36, 0.302324,0.0742775,0.0512341,0.0881271,0.00321789,0.00858381,18379.4,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,260.347
2691.2,0.649232,0.285855,2691.2,2691.2,0.058824,1.47059, 28102.9, 28102.9, 9774.05, 1548.34, 0.2, 0.181269,0.0665141,0.054948,0.0975159,0.00303458,0.00866067,20550.2,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,270.262
3181.85,0.828666,0.316508,3181.85,3181.85,0.058824,1.47059, 28246.5, 28246.5, 8483.44, 2061.75, 0.33, 0.281076,0.0610015,0.0418683,0.0718234,0.00292966,0.00685299,21698.5,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,264.556
2939.56,0.68834,0.316305,2939.56,2939.56,0.058824,1.47059, 26122.4, 26122.4, 8664.41, 1653.85, 0.25, 0.221199,0.079356,0.0668464,0.114015,0.00314087,0.0106658,12078.1,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,283.017
2833.03,0.857692,0.308267,2833.03,2833.03,0.058824,1.47059, 26228, 26228, 7857.5, 1916.67, 0.33, 0.281076,0.0680685,0.0471083,0.0821495,0.00329574,0.00776539,22187.2,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,271.834
3180.69,0.789277,0.325437,3180.69,3180.69,0.058824,1.47059, 27015.7, 27015.7, 8503.45, 1950.99, 0.31, 0.266553,0.058959,0.0477949,0.0834923,0.00277182,0.00748953,17016,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,266.647
2726.43,0.95921,0.287366,2726.43,2726.43,0.058824,1.47059, 28232, 28232, 7735.91, 2097.78, 0.37, 0.309266,0.0760043,0.0566561,0.0985562,0.00351088,0.00919453,16750.8,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,266.988
2647.91,0.719879,0.307506,2647.91,2647.91,0.058824,1.47059, 24610.8, 24610.8, 8213.62, 1574.07, 0.25, 0.221199,0.0725185,0.0594177,0.105489,0.00314046,0.00956965,15383,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,268.149
2901.59,0.585718,0.3121,2901.59,2901.59,0.058824,1.47059, 26339.5, 26339.5, 9608, 1435.19, 0.19, 0.173041,0.0657123,0.057038,0.100638,0.00292066,0.00895408,14438.6,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,273.247
2803.23,0.811003,0.304931,2803.23,2803.23,0.058824,1.47059, 26405.8, 26405.8, 8150.61, 1834.65, 0.3, 0.259182,0.0713485,0.0537174,0.0933597,0.00334649,0.00858813,15976.1,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,275.114
