sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018,sbt1_2019,sbt1_2020,sbt1_2021
49691.5,45088.2,37817.8,30220.8,25704.5,22094.9,22014.6,47775.7,67525.6,68605.8,60345.7,46954.4,37433.6,29714.4,25339.8,24669.1,49730.6,60275.3,60853.7,55767.9,47665.3,42471.4,40594.7,43066.2,36568.7,30757.3,28918.4,26071.4,23635.6,21753.9,42060.6,54569.1,47615.8,42503.2,41720.3,40316.2,31257,23757.4,18074,15947.5,14777.8,14092.5,13004.3,11802.8,10958.7,13685.2,17079,19360.2,19669.7,18139.7,16431.1,15535.8,16459.4,17578.6,18645,18732.3,19408,19228,18727.4,17913.6,17254.1,16086.8,16901.3,19701.2,20687.7,21553
48866.3,50949.6,45782.4,38192.8,32818.6,28279.8,25880.4,60169.1,79826.9,77923.8,66631.8,50445.8,38017.4,30020.3,25570.5,26049.8,58441.7,72525.1,73033.3,63395.6,50936,49924.4,47456.2,44660.3,37370.9,32312.3,30077.9,27103.3,23332.2,21629.8,43635.7,57373.7,49555.2,41201.7,37680.5,42525.2,35167.5,27649.8,21119.6,18237.1,16499.7,14802.4,12964.6,10968.6,9208.9,11936.1,15513.6,18095.6,18478.2,17486.5,15419.2,13368.1,12370.3,17381.5,20058.3,19181.2,17995.7,16498.3,15791.4,14585,13333.7,12366,15536.5,17196.4,17792.9,18450.2
61468.4,56193,46343.3,37043.9,30114.4,24875.4,20829.8,49995.3,67119.8,67716.3,59080.4,46084.4,36513.7,29482.2,25506.4,24495.4,48278.3,57282.8,56642,54080.1,48672.2,41216.1,39479.3,39125.1,35304.2,30924.6,29319.1,26831.1,25374.8,23516.5,43781.3,56288.9,47272.2,40333.2,40565.6,42396.9,33214.6,25576.8,19321.3,17327.6,15810.1,13832,12627.7,11605.5,10623.9,12495.6,16757.4,19447.9,19078.6,17652.5,15540.7,14239.8,13825.5,20743.3,24191.7,23998.8,22751.2,21267.4,19476,17658.5,16324,14739,17865.1,20148.5,19945.4,19991.7
37526,43982.8,42633.3,36142.3,30817.5,27989.4,25721.3,60678.9,80638.1,78877.7,66046,50764,38487.3,31225.8,25339.8,22246,43179,51756.9,58275.6,55728.8,46829.3,45296.1,42753.1,41331,32822.5,28880.6,29124,27638,26527,24483.4,43408.7,56669.5,48307.9,40904.7,38423.2,39745.7,30459,22831.8,16748.1,16231.3,16240.6,14839.2,12862.4,11383.6,10229.2,13416.6,16247,17527.7,16899.2,15637.7,13649.8,11800.7,11207.9,15323,18223.5,18031.5,16645.2,16771.6,16112.8,15190.5,14752.1,14170,18515,21261.3,23049.3,24235.6
39447,44197.4,41796.4,34678.7,30651.2,27031.1,24558,49786.2,66218.1,65094.8,54513.5,41232.9,30795.2,25284.3,21224.8,18632.9,43336.8,53634.4,55591.8,50462.9,43050.7,38539.7,33902.7,34644,27893,25832.8,25185.9,24074.9,21923.2,22767.9,37926.6,46628.1,35515.5,31237.6,30306.4,34270,28497.2,22137.5,17099.9,15056.2,16388.6,16634.3,15272,13669.4,12445.5,13251.9,14306.9,15845.2,15844,14920.8,13337.8,11840.7,11435.5,16886,20721.9,20548.2,19356.9,18056.2,16850.6,15957.5,14950.3,13716.4,13919.9,15948,17630.6,19050.9
56281.6,55549.4,48169.4,41090.6,35894.6,32043.1,30555.9,57638,79614.4,80946.8,70300.6,55666,43390.8,33478.4,26553.9,22812.1,59114.3,74091.1,72728,62420.9,52278.8,50895.1,47532.6,46221.5,36558.3,33392.9,33781.7,31535.5,28977.5,27076.8,47113.5,60903.5,50660.2,41480.6,40200.1,44673.9,37807.6,29196.6,21598.1,18462.9,18822.9,17647.7,15493.1,13929.1,12863.8,15546.2,17543.2,19073.3,19923.9,18890,16584.9,14649.1,13678.1,19650.7,24284.1,24113,22443.9,20987.8,20690,18958.9,17728.8,16187.3,18301.6,22669.8,26784.7,29067.7
47596.6,46985.9,41781.6,33238.2,28151.5,23772.6,20831.5,61203.2,83083.3,80587.7,65799.2,50766.2,37247.1,27557.1,22209.1,19037.3,48979.3,63357.2,62373.9,60757.1,53222.8,46564.6,42203.3,37953.9,31216.3,26273.9,29156.7,28882.6,26391.7,23820.8,38732.7,56237.1,50806.2,45408.9,41494.1,40979.8,33676.6,25082.1,19737,18641.9,17492.2,16295.4,14810.8,13979.1,12786.3,13660,15977.4,17478.9,19060.9,18523.8,16629.5,14565.4,13239.7,16640.4,20129.9,19752,19828.5,19005.9,17903.8,16585.1,15829.6,14919.3,16195.2,17459,17509,17847.8
51487,58238.7,56295.9,47938.9,40024.5,32961.4,30478.4,65288.3,82681.5,85828.9,75081,59982.9,47439.2,38150.1,31585.2,27179.5,58260.2,72641.2,73250.5,69411.9,59416.7,51194.4,50826.8,47103.5,37444,37314.2,36685.3,34904.9,31274.8,27328.8,40132.9,56225.9,54303,50913.2,47128.6,49685.2,40370.2,30998.2,23313.6,19810.8,20540.7,19693.6,18002.1,16166.4,14400.1,17214.6,20035.1,21584.1,20764.2,18339,15668,13380.9,13183.5,15569.2,17687.6,19841.2,20851.7,20751.5,21316.1,20315,18535.6,16895.7,17234.3,18175.4,17828.5,18219.8
44932.7,42937.1,36606.7,29736.7,23958.5,21039.4,19108,51290.6,68844,67072.6,55563.3,40304.8,30079.9,21973,17850.9,16235.8,42986.8,54036.5,56250,51562.1,44267.2,38153,38425.5,35921.2,29413.3,24325.1,22360.1,20700.8,18367.5,19509.7,35504.7,49207.2,40797.1,35383.3,38168.9,38368.8,29063.9,20258.3,13506.7,13042.9,13264.9,12354.5,10907.4,10007.6,9278.72,11934.6,14615.5,15297.6,15202.5,14512,13089.8,12250.1,11766.7,15531.8,17685.1,17769,16596.6,15396.5,13961.6,14387.1,14030.8,14174.6,16039.2,16960,20481.1,23116.6
47723.4,46375.9,43797,36237.1,31011,26720.7,23917.2,68526.9,93054.8,91868.9,82273.6,66410.5,54732.3,44094.9,36424.4,32853.3,61983.6,72773.8,74852.7,69581.4,62897.9,55652.5,56471.6,54501,51420.2,48236.7,43605.5,37008.4,34060.2,30490.7,38493.9,63166,58031.1,50125.8,45610,48641.5,39550.1,29966.5,22348.4,18644.9,16334.5,15700.6,14349.9,13122.6,12083.1,15831,18574.3,19488.1,20786.6,20330.8,18757.3,16401.7,16935,19209.1,21470.7,21229.6,20538.5,20043,18904.3,17376,15674.6,14094.5,16170.9,17909.9,18063.3,18595
