rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014,rt1_2015,rt1_2016,rt1_2017,rt1_2018,rt1_2019,rt1_2020
2687.96,4747.88,2578.34,1608.82,5614.21,45513.3,12555.9,2882.93,6941,1729.8,3464.24,1596.81,3387.38,4291.48,45645.2,2174.01,6196.11,5637.19,2577.38,7895.94,8250,12096.8,866.761,3524.31,5586.15,1596.66,3053,2618.36,36825.7,8511.79,4342.66,5226.68,7897.14,5099.96,4180.61,1848.02,1383.33,1661.2,2323.79,2188.76,1304.3,855.402,1285.63,6406.09,3629.73,2860.95,1387.82,432.747,1599.73,2254.48,3449.35,2512.37,3361.53,3246.48,3383.7,1243.28,2132.4,1930.44,2150.46,422.484,4226.14,5176.72,1150
1339.42,4901.1,2371.16,1859.77,3461.45,62792.2,4112.74,3532.33,5748.89,645.967,1685.84,2211.43,4274.79,6463.29,56541.4,2740.52,4641.69,1622.34,1742.76,18968.2,2526.29,7258.18,3947.49,4596.53,4625.46,2029.23,1156.92,4312.8,39419.6,9507.48,3551.02,1616.4,5947.3,18874.9,650.012,1702.73,926.48,1597.53,2313.27,1797.45,749.598,500.322,423.743,7127.97,3691.57,3224.7,1291.07,1451.71,472.24,738.904,1523.61,10334.3,1447.91,848.179,1868.29,949.463,2814.33,804.384,1592.94,1004.84,7319.46,749.308,2403.86
1536.06,3985.23,1595.33,1568.2,780.182,55068.2,3646.89,6897.19,7070.44,2860.01,3909.87,1682.47,3319.57,3906.26,43719.7,2636.98,4413.94,11284.7,4697.67,2259.53,10676.6,7281.03,7655.7,2321.11,5529.87,2382.91,3948.08,2344.15,37058.4,9120.41,1921.54,6309.8,9409.07,10151.3,3122.39,2188.77,784.612,2580.42,1351.57,1160.49,2124.98,1253.39,784.266,5369.04,5796.48,2489.1,283.568,1231.77,904.444,1952.68,1661.9,13056.7,1017.06,1920.31,1721.82,1592.09,1337.03,1586.36,1997.53,276.547,8234.29,1810.29,637.797
2392.47,2534.2,2398.07,3905.48,1709.57,62932.6,1825.45,3874.23,1769.71,836.608,1641.03,2930.6,1116.01,2037.49,40878,2205.36,14925,4595.72,1028.34,13820.2,2390.97,7362.46,3214.65,5834.64,6630.13,2374.12,3794.67,1649.27,35125.8,11200.3,3297.47,2386.62,6456.54,10681.1,1998.66,1572.69,835.348,4176,2108.38,596.454,824.649,1068.64,733.651,7517.74,1877.66,1796.15,766.623,1155.81,420.335,822.31,1545.03,8381.08,2373.56,1169.06,602.529,3540.83,780.591,1737.82,2254.65,801.995,9089.04,1103.47,3572.92
3515.28,2011.94,3472.71,1401.92,2020.24,47204.9,6270.19,2054.47,5006,2860.22,377.529,4257.9,1108.31,877.821,46026.8,414.792,6338.53,3675.57,4096.06,6200.06,2437.62,11587.7,2658,6335.72,4422.1,2489.55,1611.58,7025.69,24903.1,8036.69,865.652,7997.96,4906.93,14101.4,2715.77,1583.64,1668.43,844.805,6073.24,1240.91,466.184,534.927,1175.27,3757.51,1754.19,3515.34,741.429,1185.87,756.377,686.169,1660.24,10243.1,2190.24,471.345,1368.62,1124.13,1761.11,1903.69,1201.6,352.905,2998.6,4116.84,2578.7
2348.69,7151.69,3687.66,2881.89,4935.06,50585.7,17351.7,4149.87,5583.94,3218.66,1608.3,1331.78,1543.9,2492.78,66245,1287.19,2402.45,3212.05,6116.96,15390.6,2815.02,10145.9,1132.67,9266.02,7618.11,1436.51,3547.31,3457.53,37402.9,13432.7,721.407,3686.99,9605.93,16525.1,3547.75,1459.09,826.602,1635.68,6003.16,505.264,968.459,1787.46,1375.31,6928.38,1934.54,3569.25,3016.55,797.17,697.669,1575.83,1488.96,12204.5,4066.25,881.286,1305.6,2387.63,3768.53,576.08,2571.93,512.81,6908.44,6624.18,5593.67
3577.84,2369.71,3928.7,1182.83,1587.53,72194.7,2000.67,2257.2,1847.96,3376.59,403.425,1042.75,2808.46,1092.92,55524.7,4281.42,1882.67,14056,1808.79,6138.57,5395.39,4324.83,6435.4,3321.1,12455.8,1830.61,1312.62,2554.11,29026.8,23309.4,1274.16,5993.95,3342.26,11163.7,4307.05,1081.39,2389.55,3492.6,1555.77,2166.34,1485.17,2071.72,518.5,4275.34,4063.15,2433.03,4247.86,550.51,783.077,802.014,1124.84,8311.22,4391.92,557.055,3838.05,830.246,2072.31,1407.5,2713.83,687.408,4730.69,2304.14,1518.73
3912.2,2465.62,2356.43,646.969,6869.24,63149.1,2290.29,15386.4,3423.02,3944.11,1560.94,2987.86,2339.92,1803.08,59372,6373.69,5546.31,11220.3,2029.38,6977.16,15069.3,1779.08,4734.91,14011.2,3481.06,4646.87,1539.81,2043.55,27530,23106.6,12287.5,6069.75,3032.98,17477.4,2673.85,1113.9,1246.8,1988.02,7047.42,860.304,1729.61,1270.22,1095.8,8064.12,3204.71,3306.16,853.666,735.798,828.447,1235.06,2968.97,5453.7,3703.96,5803.12,2697.56,1925.61,4602.68,900.109,1573.19,1164.36,4185.87,3036.3,1345.82
1854.68,4709.12,525.489,3940.45,1144.37,58275.5,2489.88,1908.4,2427.31,1579.25,1063.77,2031.36,2327.12,1886.34,48426.8,1364.65,7487.03,5017.24,4522.3,4545.69,12053.5,976.189,4779.6,1743.99,4865.33,3610.95,835.131,6898.87,26464.2,16189.4,1061.34,5556.25,12040.2,4905.39,1977.47,671.964,541.319,4402.8,2140.26,876.314,1048.5,1148.42,1012.53,6122.96,2289.38,780.776,1996.18,1297.22,688.461,1995.28,741.254,7934.1,1596.58,2438.84,520.608,1345.13,1002.13,4105.31,915.955,1981.73,4372.95,1082.63,7399.36
8683.49,1313.44,3790.68,2511.31,2424.76,79615.3,2151.84,4022.33,9678.56,1836.46,6229.17,1183.07,2211.8,4590.88,55733.2,2022.53,11167.7,7297.11,9551.16,4827.34,16716.5,3946.32,13297,5025.89,2208.82,883.085,7186.13,1314.12,20038.7,41501,624.492,2061.31,5440.17,17549.6,985.444,1099.85,870.509,1616.9,2052.02,3732.02,1004.32,1523.6,1158.11,8719.99,2021.56,2101.93,4786.77,1276.29,1358.63,471.208,4798.2,4842.79,4577.77,2065.73,2432.38,2797.28,1434.94,1673.91,1392.27,827.616,6506.97,2304.59,1563.88
